property	data_object	requirement	id	title	data_type	constraint	default	examples	pattern
organism_name	ngsQC.tsv	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([a-zA-Z]+(_[a-zA-Z]+)+).*$
infraspecific_name	ngsQC.tsv	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([a-zA-Z]+(_[a-zA-Z]+)+).*$
lineage	ngsQC.tsv	optional	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^([a-zA-Z]+(_[a-zA-Z]+)+).*$
genome_assembly_id	ngsQC.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_009858895.3	^.*$
taxonomy_id	ngsQC.tsv	required	#root/taxonomy_id	taxonomy_id	string	N/A	-	2697049	^[0-9]+$
bco_id	ngsQC.tsv	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000019	^[a-zA-Z]+[0-9]+$
schema_version	ngsQC.tsv	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^v[0-9]*\.[0-9]+$
analysis_platform	ngsQC.tsv	required	#root/analysis_platform	analysis_platform	string	N/A	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	(HIVE 1|HIVE 2|HIVE AWS|Galaxy)
analysis_platform_object_id	ngsQC.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	43172-43172	-	39658	^[0-9]+$
bioproject	ngsQC.tsv	required	#root/bioproject	bioproject	string	N/A	-	PRJNA603194	^.*$
biosample	ngsQC.tsv	required	#root/biosample	biosample	string	N/A	-	SAMN13922059	^.*$
strain	ngsQC.tsv	optional	#root/strain	strain	string	N/A	-	FDAARGOS_94	^.*$
sra_run_id	ngsQC.tsv	required	#root/sra_run_id	sra_run_id	string	N/A	-	SRR10971381	^.*$
ngs_read_file_name	ngsQC.tsv	required	#root/ngs_read_file_name	ngs_read_file_name	string	N/A	-	SRR10971381_1.fastq	^[a-zA-Z]+[0-9]+_[0-9]+\.fastq$
ngs_read_file_source	ngsQC.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	N/A	-	SRA	^.*$
ngs_gc_content	ngsQC.tsv	required	#root/ngs_gc_content	gc_content	float	0.0-1.0	-	51.4	^[0-9]*\.[0-9]+$
avg_phred_score	ngsQC.tsv	required	#root/avg_phred_score	avg_phred_score	float	0.0-1000.0	-	33.5807	^[0-9]*\.[0-9]+$
avg_read_length	ngsQC.tsv	required	#root/avg_read_length	avg_read_length	float	0.0-10000.0	-	138.6775	^[0-9]*\.[0-9]+$
max_read_length	ngsQC.tsv	required	#root/max_read_length	max_read_length	int	0-100000	-	151	^[0-9]+$
min_read_length	ngsQC.tsv	required	#root/min_read_length	min_read_length	int	0-10000	-	1	^[0-9]+$
num_reads_unique	ngsQC.tsv	optional	#root/num_reads_unique	num_reads_unique	int	0-100000000	-	NA	^[0-9]+$
pos_outlier_count	ngsQC.tsv	optional	#root/pos_outlier_count	pos_outlier_count	int	0-100000	-	0	^[0-9]+$
