property	data_object	requirement	id	title	data_type	default	examples	pattern	constraint
organism_name	assemblyQC_HIVE.tsv	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	assemblyQC_HIVE.tsv	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	assemblyQC_HIVE.tsv	required	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
assembled_genome_acc	assemblyQC_HIVE.tsv	required	#root/assembled_genome_acc	assembled_genome_acc	string	-	ARG_000001	^.*$	N/A
genome_assembly_id	assemblyQC_HIVE.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
taxonomy_id	assemblyQC_HIVE.tsv	required	#root/taxonomy_id	taxonomy_id	int	-	2697049	^[0-9]+$	N/A
bco_id	assemblyQC_HIVE.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000012	^.*$	N/A
schema_version	assemblyQC_HIVE.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
analysis_platform	assemblyQC_HIVE.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$	N/A
analysis_platform_object_id	assemblyQC_HIVE.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	NA
assembly_file_source	assemblyQC_HIVE.tsv	required	#root/assembly_file_source	assembly_file_source	string	-	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/102/975/GCA_003102975.1_ASM310297v1/	^.*$	N/A
genomic_section	assemblyQC_HIVE.tsv	required	#root/genomic_section	genomic_section	string		PB2	^[A-Za-z0-9]+$	N/A
num_chromosomes	assemblyQC_HIVE.tsv	optional	#root/num_chromosomes	num_chromosomes	int	-	8	^[0-9]+$	1-100
num_genes	assemblyQC_HIVE.tsv	optional	#root/num_genes	num_genes	int	-	9	^[0-9]+$	1-1000000
num_segments 	assemblyQC_HIVE.tsv	optional	#root/num_segments 	num_segments 	int	-	10	^[0-9]+$	1-100000
assembly_gc_content	assemblyQC_HIVE.tsv	required	#root/assembly_gc_content	assembly_gc_content	float	-	29.903	^[0-9]*\.[0-9]+$	0.0-1.0
length	assemblyQC_HIVE.tsv	optional	#root/length	length	int	-	13588	^[0-9]+$	0-1000000000
num_of_frameshifts	assemblyQC_HIVE.tsv	optional	#root/num_of_frameshifts	num_of_frameshifts	int	-	1	^[0-9]+$	1-1000
num_of_stop_codons	assemblyQC_HIVE.tsv	optional	#root/num_of_stop_codons	num_of_stop_codons	int	-	1	^[0-9]+$	1-1000
genome_coverage	assemblyQC_HIVE.tsv	optional	#root/genome_coverage	genome_coverage	float	-	94.45	^[0-9]*\.[0-9]+$	0.0-100.0
n50 	assemblyQC_HIVE.tsv	optional	#root/n50	n50	int	-	2233	^[0-9]+$	0-100000
n75	assemblyQC_HIVE.tsv	optional	#root/n75	n75	int	-	1565	^[0-9]+$	0-100000
n90	assemblyQC_HIVE.tsv	optional	#root/n90	n90	int	-	1027	^[0-9]+$	0-100000
l50 	assemblyQC_HIVE.tsv	optional	#root/l50	l50	int	-	3	^[0-9]+$	1-1000000
l75	assemblyQC_HIVE.tsv	optional	#root/l75	l75	int	-	5	^[0-9]+$	1-1000000
ref_genome_acc	assemblyQC_HIVE.tsv	required	#root/ref_genome_acc	ref_genome_acc	string	-	NC_002023	^.*$	N/A
query_coverage_against_reference	assemblyQC_HIVE.tsv	optional	#root/query_coverage_against_reference	query_coverage_against_reference	int	-	100	^[0-9]+$	1-100000
reference_coverage_against_query	assemblyQC_HIVE.tsv	optional	#root/reference_coverage_against_query	reference_coverage_against_query	int		100	^[0-9]+$	1-100001
percent_identity_against_reference	assemblyQC_HIVE.tsv	optional	#root/percent_identity_against_reference	percent_identity_against_reference	float	-	100	^[0-9]+$	0.0-100.0
percent_reads_unaligned	assemblyQC_HIVE.tsv	optional	#root/reads_unaligned	reads_unaligned	int	-	1570000	^[0-9]+$	0-100000000
assembly_type	assemblyQC_HIVE.tsv	optional	#root/assembly_type	assembly_type	string	-	Haploid 	^.*$	N/A
assembly_level	assemblyQC_HIVE.tsv	optional	#root/assembly_level	assembly_level	string	-	Complete Genome	^.*$	N/A
assembly_score	assemblyQC_HIVE.tsv	optional	#root/assembly_score	assembly_score	int	-	33	^[0-9]+$	1-200
organism_name	biosampleMeta_HIVE.tsv	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	biosampleMeta_HIVE.tsv	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+$	N/A
lineage	biosampleMeta_HIVE.tsv	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
taxonomy_id	biosampleMeta_HIVE.tsv	required	#root/taxonomy_id	taxonomy_id	int	-	433733	^[0-9]+$	N/A
bco_id	biosampleMeta_HIVE.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000020	^.*$	N/A
schema_version	biosampleMeta_HIVE.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
bioproject	biosampleMeta_HIVE.tsv	required	#root/bioproject	bioproject	string	-	PRJNA603194	^[A-Za-z0-9]+$	N/A
biosample	biosampleMeta_HIVE.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[A-Za-z0-9]+$	N/A
strain	biosampleMeta_HIVE.tsv	optional	#root/strain	strain	string	-	FDAARGOS_94	^.*$	N/A
genome_assembly_id	biosampleMeta_HIVE.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
sample_name	biosampleMeta_HIVE.tsv	optional	#root/sample_name	sample_name	string	-	human bronchoalveolar lavage fluid	^.*$	N/A
instrument	biosampleMeta_HIVE.tsv	optional	#root/instrument	instrument	string	-	Illumina MiniSeq	^.*$	N/A
isolate	biosampleMeta_HIVE.tsv	optional	#root/isolate	isolate	string	-	Monkeypox Virus/USA-2003	^.*$	N/A
collected_by	biosampleMeta_HIVE.tsv	optional	#root/collected_by	collected_by	string	-	Fudan University	^.*$	N/A
collection_date	biosampleMeta_HIVE.tsv	optional	#root/collection_date	collection_date	string	-	2/20/20	^.*$	N/A
geo_loc_name	biosampleMeta_HIVE.tsv	optional	#root/geo_loc_name	geo_loc_name	string	-	China: Wuhan	^.*$	N/A
isolation_source	biosampleMeta_HIVE.tsv	optional	#root/isolation_source	isolation_source	string	-	human lung metagenome	^.*$	N/A
lat_lon	biosampleMeta_HIVE.tsv	optional	#root/lat_lon	lat_lon	string	-	NA	^.*$	N/A
culture_collection	biosampleMeta_HIVE.tsv	optional	#root/culture_collection	culture_collection	string	-	FDA:FDAARGOS_855	^.*$	N/A
host	biosampleMeta_HIVE.tsv	optional	#root/host	host	string	-	9606	^.*$	N/A
host_age	biosampleMeta_HIVE.tsv	optional	#root/host_age	host_age	int	-	16M	^.*$	0-200
host_description	biosampleMeta_HIVE.tsv	optional	#root/host_description	host_description	string	-	NA	^.*$	N/A
host_disease	biosampleMeta_HIVE.tsv	optional	#root/host_disease	host_disease	string	-	Monkeypox Virus Disease	^.*$	N/A
host_disease_outcome	biosampleMeta_HIVE.tsv	optional	#root/host_disease_outcome	host_disease_outcome	string	-	NA	^.*$	N/A
host_disease_stage	biosampleMeta_HIVE.tsv	optional	#root/host_disease_stage	host_disease_stage	string	-	NA	^.*$	N/A
host_health_state	biosampleMeta_HIVE.tsv	optional	#root/host_health_state	host_health_state	string	-	NA	^.*$	N/A
host_sex	biosampleMeta_HIVE.tsv	optional	#root/host_sex	host_sex	string	-	Male | Female 	^.*$	N/A
