property	data_files	recommended	description	source_or_type_def
overhang_momentum	assemblyQC_HIVE.tsv	Raja/Vahan	If your assembly is missing an segment from the real species isolate genome, then reads will partially align around the missing segment. This will show up as overhands on alignments of reads.	HIVE
size_gaps	assemblyQC.tsv	Raja/Vahan	Cumulative of size of regions with no alignment coverage.	HIVE/NCBI
size_contigs	assemblyQC.tsv	Raja/Vahan	Size of the contig in nucleotides.	HIVE
coverage_contigs	assemblyQC.tsv	Raja/Vahan	The value would have been calculated by taking the total no. of reads that map to the contig divided by the contig length.	HIVE/Internet
coverage_gaps	assemblyQC.tsv	Raja/Vahan	Usually zero and means no coverage of gaps.	HIVE
cnt_contigs	assemblyQC.tsv	Raja/Vahan	The count/number of continuously covered regions separated by gaps in the sequence.	HIVE
cnt_gaps	assemblyQC.tsv	Raja/Vahan	The count/number of non-covered regions in the sequence.	HIVE
contig_percentile	assemblyQC.tsv	Raja/Vahan	The percent of the assembly length that is covered by alignments.	HIVE
gap_percentile	assemblyQC.tsv	Raja/Vahan	The percent of the assembly length that is not covered at all.	HIVE
contig_momentum	assemblyQC.tsv	Raja/Vahan	Weighted average length of the contig.	HIVE
l90	assemblyQC.tsv	Raja/Vahan	Number of reads that minimally represent 90% of the assembly.	HIVE/NCBI
n95	assemblyQC.tsv	Raja/Vahan	Length of the shortest read to minimally represent 95% of the assembly.	HIVE/NCBI
l95	assemblyQC.tsv	Raja/Vahan	Number of reads that minimally represent 95% of the assembly.	HIVE/NCBI
phred_average	assemblyQC.tsv	Raja/Vahan	The average phred score for this assembly.	HIVE/NCBI
mutation_momentum	assemblyQC.tsv	Raja/Vahan	Weighted average mutation frequency.	HIVE 
indels_momentum	assemblyQC.tsv	Raja/Vahan	Weighted average indel frequency.	HIVE 
major_mutation_momentum	assemblyQC.tsv	Raja/Vahan	Weighted average mutation frequency for mutations with frequencies above 50 percent.	HIVE 
major_indels_momentum	assemblyQC.tsv	Raja/Vahan	Weighted average indel frequency for indels with frequencies above 50 percent.	HIVE 
alignment_anisotropy	assemblyQC.tsv	Raja/Vahan	How heavy the left side versus right side are alignments in this position. Tells that your reference sequence is not fully representative of your isolate, but is one of them. 	HIVE 
aligned_momentum	assemblyQC.tsv	Raja/Vahan	Averaged weighted length of read alignments. 	HIVE 
entropic_momentum	assemblyQC.tsv	Raja/Vahan	Average entropy across the reference profile.	HIVE 
rpkm	assemblyQC.tsv	Raja/Vahan	Reads per kilobase per million mapped reads. 	NCBI
reads_unaligned	assemblyQC.tsv	Raja/Vahan	Number of reads that are unaligned to the common reference genome	NCBI/HIVE
reads_aligned	assemblyQC.tsv	Raja/Vahan	Number of reads that aligned to the common reference genome.	NCBI 
num_chromosomes	assemblyQC*	Raja	Total number of chromosomes in the genome assembly.	NCBI Assembly DB
assembly_file_source	assemblyQC*	Data Team 	Resource that the fasta files are derived from in the form of a URI/static URL.	ARGOS Team
assembly_gc_content	assemblyQC*	Yi FDA GC & Vahan	GC content of the assembly as a percent.	Calculated from SRA
assembled_genome_acc	assemblyQC*	Raja	The accession assigned to a genome assembly generated by the FDA Argos Team.	ARGOS Team
genome_coverage	assemblyQC*	Raja	The number of nucleotide bases in a sequence that align to a specific locus in a reference genome. Coverage = (read count * read length ) / total genome size.	ARGOS Team
num_genes	assemblyQC*	Raja/Vahan	Number of genes per organism.	ARGOS Team
num_segments	assemblyQC*	Raja	Number of segments in genome.	ARGOS Team
number_of_n	assemblyQC*	Raja/Vahan	The total number of uncalled bases (N's) in the assembly.	HIVE
genomic_section	assemblyQC*	Raja/Robel	The section of an organisms genome undergoing analysis (i.e. the gene, segment, chromosome, contig, etc.).	NCBI - multiple sources 
n50	assemblyQC*	Yi FDA; Vahan	Length of the shortest read to minimally represent 50% of the assembly.	HIVE
n75	assemblyQC*	Vahan	Length of the shortest read to minimally represent 75% of the assembly.	HIVE / NCBI
n90	assemblyQC*	Vahan	Length of the shortest read to minimally represent 95% of the assembly.	HIVE / NCBI
l50	assemblyQC*	Yi FDA; Vahan	Number of reads that minimally represent 50% of the assembly.	HIVE
l75	assemblyQC*	Raja	Number of reads that minimally represent 75% of the assembly.	HIVE
percent_assembly_greater_20x	assemblyQC*	Yi FDA	Summary statistics of percent assembly with 20x coverage, other summery statistics could also be used.	HIVE
assembly_type	assemblyQC*	from NCBI Assembly	Haploid, haploid-with-alt-loci (a haploid assembly with alternative loci, for example as provided by the Genome Reference Consortium for the human genome), diploid, unresolved diploid, or alternate pseudohaplotype. See the NCBI Assembly Data Model for a definition of these terms.	HIVE
assembly_level	assemblyQC*	from NCBI Assembly	The highest level of assembly for any object in the assembly.	HIVE
length	assemblyQC* 	HIVE	Total length of the assembly.	HIVE
percent_reads_unaligned	assemblyQC* 	HIVE	The number of reads that did not align to the reference as a percentage.	HIVE
id_method	assemblyQC*|biosampleMeta*|ngsQC*	Yi FDA	Species identification method.	NCBI BioSample DB
bco_id	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|DRM_all_orgs.tsv	Raja	BioCompute Object identifier.	biocomputeobject.org
schema_version	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|DRM_all_orgs.tsv	Raja	Reflective of the Data Dictionary version currently applied to the dataset. 	data.argos.org
analysis_platform	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|DRM_all_orgs.tsv	Raja	The platform used to conduct the analysis.	ARGOS Team
analysis_platform_object_id	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|DRM_all_orgs.tsv	Raja	Unique identifier of archive containing data and analyses. Examples include HIVEPack or Research Object (RO).	ARGOS Team; HIVE; https://www.researchobject.org/ 
organism_name	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|ngs_id_list.tsv|DRM_all_orgs.tsv	Yi FDA	Name of the expected organism. Should correspond to a NCBI Taxonomy node.	NCBI Taxonomy
infraspecific_name	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|ngs_id_list.tsv|DRM_all_orgs.tsv	Data Team 	Scientific name for any taxon below the rank of species, i.e. an infraspecific taxon or infraspecies. 	NCBI Assembly
lineage	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|ngs_id_list.tsv|DRM_all_orgs.tsv	Yi FDA	The complete taxonomic lineage for the taxonomic node indicated.	NCBI Taxonomy
genome_assembly_id	assemblyQC*|biosampleMeta*|ngsQC*|siteQC*|ngs_id_list.tsv|DRM_all_orgs.tsv	Yi FDA	Assembly DB identifier (Example: NCBI assembly accession).	NCBI Assembly DB
