README Summary for Data Dictionary V0.9				
"- In 'data_files' column: '*' implies all files in that data set category from Mazumder, Pond, and Crandall Labs."				
#NAME?				
				
Summary of V0.9 Changes in Property Definition List:				
Term	Action 	Affected Datasets 		
sra_run_id	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team  	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*		
schema_version	Updated definition to be more accurate 	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*		
ngs_read_file_source	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team	ngsQC* | assemblyQC* | siteQC*		
ngs_read_file_name	Updated definition to be more accurate; updated data files; updated 'source_or_type_def' to Argos Team	ngsQC* | assemblyQC* | siteQC*		
ref_genome_acc	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team	assemblyQC* | siteQC*		
ngs_gc_content	Updated definition to be more accurate; updated data files; updated 'source_or_type_def' to HIVE	ngsQC*		
assembly_gc_content	Updated applicable data files; updated 'source_or_type_def' to 'Calculated from SRA'	assemblyQC* 		
length	Updated applicable data files	assemblyQC* | proteome_metadata.csv*|uniprot-proteome.csv* 		
reads_unaligned	Updated applicable data files	assemblyQC* | SRA_ngsQC.tsv		
num_genes	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	assemblyQC* 		
num_segments	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	assemblyQC* 		
wt_nucleotide	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
alt_nucleotide	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
wt_codon	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
alt_codon	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
wt_amino_acid	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
alt_amino_acid	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
annotation	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
read_coverage	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
frequency	Updated definition to be more accurate; updated 'source_or_type_def' to Argos Team 	siteQC*		
codon_reference	Updated definition to be more accurate; updated 'source_or_type_def' to UniProt 	siteQC*		
protein_accession	Updated definition to be more accurate; updated 'source_or_type_def' to UniProt 	siteQC*		
count_major_mutations	Updated definition to be more accurate; updated 'source_or_type_def' to HIVE	siteQC*		
count_major_indels	Updated definition to be more accurate; updated 'source_or_type_def' to HIVE	siteQC*		
				
				
				
